,sentence,target,target_type,category,polarity,opinin_Term
351,"But after last night , Spice Grill is the only place I 'm eating indian cuisine .",indian cuisine,explicit,FOOD QUALITY,positive,the only place
352,This was a great surprise .,NULL,implicit,RESTAURANT GENERAL,positive,a great surprise
353,We were planning to get dessert but the waitress basically through the bill at us before we had a chance to order .,waitress,explicit,SERVICE GENERAL,negative,through the bill
354,This is the perfect date spot for Williamsburg couples .,NULL,implicit,RESTAURANT MISCELLANEOUS,positive,perfect
355,Went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them .,NULL,implicit,SERVICE GENERAL,negative,wait
356,Wonderful strawberry daiquiries as well !,strawberry daiquiries,explicit,DRINKS QUALITY,positive,Wonderful
357,They were such a rip-off ( $ 8 .95 for four small meat patties in steamed buns ) and not worth trying .,NULL,implicit,FOOD QUALITY,negative,rip-off
358,They were such a rip-off ( $ 8 .95 for four small meat patties in steamed buns ) and not worth trying .,NULL,implicit,FOOD STYLE_OPTIONS,negative,small
359,They were such a rip-off ( $ 8 .95 for four small meat patties in steamed buns ) and not worth trying .,NULL,implicit,FOOD PRICES,negative,not worth
360,But the staff was so horrible to us .,staff,explicit,SERVICE GENERAL,negative,horrible
361,The hostess is rude to the point of being offensive .,hostess,explicit,SERVICE GENERAL,negative,rude
362,The hostess is rude to the point of being offensive .,hostess,explicit,SERVICE GENERAL,negative,offensive
363,"I 've also been amazed at all the new additions in the past few years : A new Jazz Bar , the most fantastic Dining Garden , the Best Thin Crust Pizzas , and now a Lasagna Menu which is to die for ( these are not your average lasagnas ) !",Dining Garden,explicit,AMBIENCE GENERAL,positive,fantastic
364,"I 've also been amazed at all the new additions in the past few years : A new Jazz Bar , the most fantastic Dining Garden , the Best Thin Crust Pizzas , and now a Lasagna Menu which is to die for ( these are not your average lasagnas ) !",Jazz Bar,explicit,AMBIENCE GENERAL,positive,new
365,"I 've also been amazed at all the new additions in the past few years : A new Jazz Bar , the most fantastic Dining Garden , the Best Thin Crust Pizzas , and now a Lasagna Menu which is to die for ( these are not your average lasagnas ) !",Thin Crust Pizzas,explicit,FOOD QUALITY,positive,Best
366,"I 've also been amazed at all the new additions in the past few years : A new Jazz Bar , the most fantastic Dining Garden , the Best Thin Crust Pizzas , and now a Lasagna Menu which is to die for ( these are not your average lasagnas ) !",Lasagna Menu,explicit,FOOD QUALITY,positive,die for
367,A must try !,NULL,implicit,RESTAURANT GENERAL,positive,A must try
368,Not a great place for family or general dining .,place,explicit,RESTAURANT MISCELLANEOUS,negative,Not a great
369,I can not imagine better Indian food in all of the city .,Indian food,explicit,FOOD QUALITY,positive,better
370,I did not try the caviar but I tried their salmon and crab salad ( they are all good ),salmon,explicit,FOOD QUALITY,positive,good
371,I did not try the caviar but I tried their salmon and crab salad ( they are all good ),crab salad,explicit,FOOD QUALITY,positive,good
372,"We went here for lunch a couple of weeks ago on a Saturday , and I was thoroughly impressed with the food .",food,explicit,FOOD QUALITY,positive,impressed
373,The location is perfect .,location,explicit,LOCATION GENERAL,positive,perfect
374,A great place to meet up for some food and drinks ...,place,explicit,RESTAURANT MISCELLANEOUS,positive,great
375,Have been dozens of times and never failed to enjoy the experience .,NULL,implicit,RESTAURANT GENERAL,positive,enjoy
376,Planet Thai is great !,Planet Thai,explicit,RESTAURANT GENERAL,positive,great
377,Not worth it .,NULL,implicit,FOOD PRICES,negative,Not worth
378,After really enjoying ourselves at the bar we sat down at a table and had dinner .,bar,explicit,RESTAURANT MISCELLANEOUS,positive,enjoying
379,Food is great .,Food,explicit,FOOD QUALITY,positive,great
380,This dish is my favorite and I always get it when I go there and never get tired of it .,dish,explicit,FOOD QUALITY,positive,favorite
381,You should pass on the calamari .,calamari,explicit,FOOD QUALITY,negative,pass
382,The view is breathtaking the service is top notch ... the ambiance is wonderful .,view,explicit,LOCATION GENERAL,positive,breathtaking
383,The view is breathtaking the service is top notch ... the ambiance is wonderful .,service,explicit,SERVICE GENERAL,positive,top notch
384,The view is breathtaking the service is top notch ... the ambiance is wonderful .,ambiance,explicit,AMBIENCE GENERAL,positive,wonderful
385,I 've been many time and have never been disappointed .,NULL,implicit,RESTAURANT GENERAL,positive,never been disappointed
386,Best drumsticks over rice and sour spicy soup in town !,drumsticks over rice,explicit,FOOD QUALITY,positive,Best
387,Best drumsticks over rice and sour spicy soup in town !,sour spicy soup,explicit,FOOD QUALITY,positive,Best
388,the drinks are amazing and half off till 8pm .,drinks,explicit,DRINKS QUALITY,positive,amazing
389,the drinks are amazing and half off till 8pm .,drinks,explicit,DRINKS PRICES,positive,amazing
390,I 'm glad I was introduced to this place and this is a rare gem in NY .,place,explicit,RESTAURANT GENERAL,positive,glad
391,JUST AWSOME .,NULL,implicit,FOOD QUALITY,positive,AWSOME
392,"You are not eating haut cuisine with subtle hints of whatever but : Cassuolet , Steake Fritte , Tripe Stew , etc ; simple stuff .",NULL,implicit,FOOD STYLE_OPTIONS,positive,simple
393,"You are not eating haut cuisine with subtle hints of whatever but : Cassuolet , Steake Fritte , Tripe Stew , etc ; simple stuff .",NULL,implicit,FOOD QUALITY,positive,subtle hints of whatever
394,"those rolls were big , but not good and sashimi was n't fresh .",rolls,explicit,FOOD STYLE_OPTIONS,positive,big
395,"those rolls were big , but not good and sashimi was n't fresh .",rolls,explicit,FOOD QUALITY,negative,not good
396,"those rolls were big , but not good and sashimi was n't fresh .",sashimi,explicit,FOOD QUALITY,negative,was n't fresh
397,THe perfect spot .,spot,explicit,RESTAURANT GENERAL,positive,perfect
398,"Good spreads , great beverage selections and bagels really tasty .",spreads,explicit,FOOD QUALITY,positive,Good
399,"Good spreads , great beverage selections and bagels really tasty .",beverage selections,explicit,DRINKS STYLE_OPTIONS,positive,great
400,"Good spreads , great beverage selections and bagels really tasty .",bagels,explicit,FOOD QUALITY,positive,tasty
401,"The blond wood decor is very soothing , the premium sake is excellent and the service is great .",blond wood decor,explicit,AMBIENCE GENERAL,positive,soothing
402,"The blond wood decor is very soothing , the premium sake is excellent and the service is great .",premium sake,explicit,DRINKS QUALITY,positive,soothing
403,"The blond wood decor is very soothing , the premium sake is excellent and the service is great .",service,explicit,SERVICE GENERAL,positive,great
404,"The food was delicious ( I had a halibut special , my husband had steak ) , and the service was top-notch .",food,explicit,FOOD QUALITY,positive,delicious
405,"The food was delicious ( I had a halibut special , my husband had steak ) , and the service was top-notch .",halibut special,explicit,FOOD QUALITY,positive,delicious
406,"The food was delicious ( I had a halibut special , my husband had steak ) , and the service was top-notch .",steak,explicit,FOOD QUALITY,positive,delicious
407,"The food was delicious ( I had a halibut special , my husband had steak ) , and the service was top-notch .",service,explicit,SERVICE GENERAL,positive,top-notch
408,"If you venture off the island of Manhattan and ca n't seem to find a great Italian restaurant , drive to Corona .",Corona,explicit,RESTAURANT GENERAL,positive,great
409,"Try the Pad Thai , it 's fabulous and their prices are so cheap !",Pad Thai,explicit,FOOD QUALITY,positive,Try
410,"Try the Pad Thai , it 's fabulous and their prices are so cheap !",Pad Thai,explicit,FOOD QUALITY,positive,fabulous
411,"Try the Pad Thai , it 's fabulous and their prices are so cheap !",NULL,implicit,RESTAURANT PRICES,positive,cheap
412,I loved it and would go again .,NULL,implicit,RESTAURANT GENERAL,positive,loved
413,"Furthermore , the rice had no seasoning , so the sushi was bland and disgusting .",rice,explicit,FOOD QUALITY,negative,no seasoning
414,"Furthermore , the rice had no seasoning , so the sushi was bland and disgusting .",sushi,explicit,FOOD QUALITY,negative,bland
415,"Furthermore , the rice had no seasoning , so the sushi was bland and disgusting .",sushi,explicit,FOOD QUALITY,negative,disgusting
416,Everyone was more then happy with his choices .,NULL,implicit,SERVICE GENERAL,positive,happy
417,"The food is good , I ca n't lie .",food,explicit,FOOD QUALITY,positive,good
418,The service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals .,service,explicit,SERVICE GENERAL,positive,fast
419,The service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals .,service,explicit,SERVICE GENERAL,positive,friendly
420,The service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals .,food,explicit,FOOD QUALITY,positive,tasty
421,The service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals .,hot sauce,explicit,FOOD QUALITY,positive,best
422,The waiter was attentive .,waiter,explicit,SERVICE GENERAL,positive,attentive
423,wont come back again for sure !,NULL,implicit,RESTAURANT GENERAL,negative,wont come back
424,I loved this place ! !,place,explicit,RESTAURANT GENERAL,positive,loved
425,"Just straight up cheap , good food .",food,explicit,FOOD QUALITY,positive,good
426,"Just straight up cheap , good food .",food,explicit,FOOD PRICES,positive,cheap
427,I had a huge pastrami sandwich on a roll .,pastrami sandwich on a roll,explicit,FOOD STYLE_OPTIONS,neutral,huge
428,"My husbands was perfect , my was well done and dry .",NULL,implicit,FOOD QUALITY,positive,perfect
429,"My husbands was perfect , my was well done and dry .",NULL,implicit,FOOD QUALITY,negative,well done
430,"My husbands was perfect , my was well done and dry .",NULL,implicit,FOOD QUALITY,negative,dry
431,"The food was amazing , and the service was prompt and helpful , but not over-bearing or rushed .",food,explicit,FOOD QUALITY,positive,amazing
432,"The food was amazing , and the service was prompt and helpful , but not over-bearing or rushed .",service,explicit,SERVICE GENERAL,positive,prompt
433,"The food was amazing , and the service was prompt and helpful , but not over-bearing or rushed .",service,explicit,SERVICE GENERAL,positive,helpful
434,"The food was amazing , and the service was prompt and helpful , but not over-bearing or rushed .",service,explicit,SERVICE GENERAL,positive,not over-bearing or rushed
435,"By far , the best pizza in Manhattan .",pizza,explicit,FOOD QUALITY,positive,best
436,"Thalia is a beautiful restaurant with beautiful people serving you , but the food does n't quite match up .",people,explicit,SERVICE GENERAL,positive,beautiful
437,"Thalia is a beautiful restaurant with beautiful people serving you , but the food does n't quite match up .",food,explicit,FOOD QUALITY,negative,does n't quite match up
438,"Thalia is a beautiful restaurant with beautiful people serving you , but the food does n't quite match up .",Thalia,explicit,AMBIENCE GENERAL,positive,beautiful
439,I wish they would change back to what it was before .,NULL,implicit,RESTAURANT GENERAL,negative,change back
440,The price very reasonable .,NULL,implicit,RESTAURANT PRICES,positive,reasonable
441,"Went on a 3 day oyster binge , with Fish bringing up the closing , and I am so glad this was the place it O trip ended , because it was so great !",oyster binge,explicit,RESTAURANT GENERAL,positive,great
442,They even scoop it out nice ( for those on a diet ) not too much not to little .,NULL,implicit,FOOD STYLE_OPTIONS,positive,nice
443,I had a huge group for my birthday and we were well taken care of .,NULL,implicit,SERVICE GENERAL,positive,well taken care of
444,It is simply amazing .,NULL,implicit,FOOD QUALITY,positive,amazing
445,You can not go wrong at the Red Eye Grill .,Red Eye Grill,explicit,RESTAURANT GENERAL,positive,can not go wrong
446,The waitress was very patient with us and the food is phenomenal !,waitress,explicit,SERVICE GENERAL,positive,patient
447,The waitress was very patient with us and the food is phenomenal !,food,explicit,FOOD QUALITY,positive,phenomenal
448,We did n't want a bottle of bubbly on a weekday so we each got little bottles of Korbett it was just enough .,bottles of Korbett,explicit,DRINKS STYLE_OPTIONS,positive,enough
449,"We ordered the chicken casserole , but what we got were a few small pieces of chicken , all dark meat and on the bone .",chicken casserole,explicit,FOOD QUALITY,negative,all dark meat and on the bone 
450,"We ordered the chicken casserole , but what we got were a few small pieces of chicken , all dark meat and on the bone .",chicken casserole,explicit,FOOD STYLE_OPTIONS,negative,small
451,"I choose to go with one of the special , the braised lamb shank in red wine , which was excellent .",braised lamb shank in red wine,explicit,FOOD QUALITY,positive,excellent
452,And the Tom Kha soup was pathetic .,Tom Kha soup,explicit,FOOD QUALITY,negative,pathetic
453,too large for just two people but nothing was left .,NULL,implicit,FOOD STYLE_OPTIONS,negative,too large
454,too large for just two people but nothing was left .,NULL,implicit,FOOD QUALITY,positive,nothing was left
455,Mizu is home to creative and unique rolls not to found anywhere else .,rolls,explicit,FOOD STYLE_OPTIONS,positive,unique
456,Pizza here is consistently good .,Pizza,explicit,FOOD QUALITY,positive,good
457,"The decor is night tho ... but they REALLY need to clean that vent in the ceiling ... its quite un-appetizing , and kills your effort to make this place look sleek and modern .",ceiling,explicit,AMBIENCE GENERAL,negative,un-appetizing
458,"The decor is night tho ... but they REALLY need to clean that vent in the ceiling ... its quite un-appetizing , and kills your effort to make this place look sleek and modern .",vent,explicit,AMBIENCE GENERAL,negative,un-appetizing
459,"The dinner was ok , nothing I would have again .",dinner,explicit,FOOD QUALITY,negative,ok
460,The prices are wonderfully low .,NULL,implicit,RESTAURANT PRICES,positive,wonderfully low
461,"Went here last night - nice decor , good service , but the food was surprisingly excellent .",decor,explicit,AMBIENCE GENERAL,positive,nice
462,"Went here last night - nice decor , good service , but the food was surprisingly excellent .",service,explicit,SERVICE GENERAL,positive,good
463,"Went here last night - nice decor , good service , but the food was surprisingly excellent .",food,explicit,FOOD QUALITY,positive,excellent
464,Kind of a small place but I guess if they are not too busy might be able to fit a group or kids .,place,explicit,RESTAURANT MISCELLANEOUS,neutral,small
465,A great choice at any cost and a great deal .,NULL,implicit,RESTAURANT GENERAL,positive,A great choice
466,A great choice at any cost and a great deal .,NULL,implicit,RESTAURANT PRICES,positive,a great deal
467,I felt as though I were eating in Paris .,NULL,implicit,FOOD QUALITY,positive,eating in Paris
468,"Considering we were the last patrons there and it was after the closing time , the waitstaff did not rush us at all and made us feel comfortable and relaxed .",waitstaff,explicit,SERVICE GENERAL,positive,comfortable
469,"Considering we were the last patrons there and it was after the closing time , the waitstaff did not rush us at all and made us feel comfortable and relaxed .",waitstaff,explicit,SERVICE GENERAL,positive,relaxed
470,This is the BEST Shabu-Shabu Restaurant in the Try-State Area .,Shabu-Shabu Restaurant,explicit,RESTAURANT GENERAL,positive,BEST
471,But that is highly forgivable .,NULL,implicit,RESTAURANT MISCELLANEOUS,positive,highly forgivable
472,"The crust is thin , the ingredients are fresh and the staff is friendly .",crust,explicit,FOOD QUALITY,positive,thin
473,"The crust is thin , the ingredients are fresh and the staff is friendly .",staff,explicit,SERVICE GENERAL,positive,friendly
474,"The crust is thin , the ingredients are fresh and the staff is friendly .",ingredients,explicit,FOOD QUALITY,positive,fresh
475,Always great service !,service,explicit,SERVICE GENERAL,positive,great
476,The spicy Tuna roll is huge and probably the best that I 've had at this price range .,spicy Tuna roll,explicit,FOOD STYLE_OPTIONS,positive,huge
477,The spicy Tuna roll is huge and probably the best that I 've had at this price range .,spicy Tuna roll,explicit,FOOD QUALITY,positive,best
478,The spicy Tuna roll is huge and probably the best that I 've had at this price range .,spicy Tuna roll,explicit,FOOD PRICES,positive,best
479,Love YUKA .,YUKA,explicit,RESTAURANT GENERAL,positive,Love
480,The menu has so many fish items and oysters .,menu,explicit,FOOD STYLE_OPTIONS,positive,so many
481,The place was quiet and delightful .,place,explicit,AMBIENCE GENERAL,positive,quiet
482,The place was quiet and delightful .,place,explicit,AMBIENCE GENERAL,positive,delightful
483,"Skip this restaurant , it 's a big disappointment .",restaurant,explicit,RESTAURANT GENERAL,negative,Skip
484,"Skip this restaurant , it 's a big disappointment .",restaurant,explicit,RESTAURANT GENERAL,negative,disappointment
485,"The food is outstanding and the service is quick , friendly and very professional .",food,explicit,FOOD QUALITY,positive,outstanding
486,"The food is outstanding and the service is quick , friendly and very professional .",service,explicit,SERVICE GENERAL,positive,quick
487,"The food is outstanding and the service is quick , friendly and very professional .",service,explicit,SERVICE GENERAL,positive,friendly
488,"The food is outstanding and the service is quick , friendly and very professional .",service,explicit,SERVICE GENERAL,positive,professional
489,"Anybody who likes this place must be from a different planet , where greasy , dry and tasteless are complimentary .",NULL,implicit,FOOD QUALITY,negative,greasy
490,"Anybody who likes this place must be from a different planet , where greasy , dry and tasteless are complimentary .",NULL,implicit,FOOD QUALITY,negative,dry
491,"Anybody who likes this place must be from a different planet , where greasy , dry and tasteless are complimentary .",NULL,implicit,FOOD QUALITY,negative,tasteless
492,we love th pink pony .,pink pony,explicit,RESTAURANT GENERAL,positive,love
493,I thanked my friend who recommended me this restaurant and will certainly recommend it to others .,restaurant,explicit,RESTAURANT GENERAL,positive,recommend
494,"I am not a vegetarian but , almost all the dishes were great .",dishes,explicit,FOOD QUALITY,positive,great
495,"Everything was wonderful ; food , drinks , staff , mileau .",food,explicit,FOOD QUALITY,positive,wonderful
496,"Everything was wonderful ; food , drinks , staff , mileau .",drinks,explicit,DRINKS QUALITY,positive,wonderful
497,"Everything was wonderful ; food , drinks , staff , mileau .",staff,explicit,SERVICE GENERAL,positive,wonderful
498,"Everything was wonderful ; food , drinks , staff , mileau .",mileau,explicit,AMBIENCE GENERAL,positive,wonderful
499,Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation .,Traditional French decour,explicit,AMBIENCE GENERAL,positive,pleasant
500,Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation .,hall,explicit,AMBIENCE GENERAL,negative,noisy
501,"This place is really trendi but they have forgotten about the most important part of a restaurant , the food .",food,explicit,FOOD QUALITY,negative,forgotten
502,"This place is really trendi but they have forgotten about the most important part of a restaurant , the food .",place,explicit,AMBIENCE GENERAL,positive,trendi
503,Service was also very good .,Service,explicit,SERVICE GENERAL,positive,good
504,"I went to Areo on a Sunday afternoon with four of my girlfriends , and spent three enjoyable hours there .",Areo,explicit,RESTAURANT GENERAL,positive,enjoyable
505,I had the duck breast special on my last visit and it was incredible .,duck breast special,explicit,FOOD QUALITY,positive,incredible
506,The place 's decor and hidden bathrooms made for a good laugh .,decor,explicit,AMBIENCE GENERAL,positive,good laugh
507,The place 's decor and hidden bathrooms made for a good laugh .,hidden bathrooms,explicit,AMBIENCE GENERAL,positive,good laugh
508,Who has room for Cheesesticks with the best pizza in NYC !,pizza,explicit,FOOD QUALITY,positive,best
509,"While it is understandable that every place is indeed different , there was not a need to be uncourteous to customers and downright rude .",NULL,implicit,SERVICE GENERAL,negative,rude
510,The rice to fish ration was also good -- they did n't try to overpack the rice .,rice to fish ration,explicit,FOOD STYLE_OPTIONS,positive,good
511,It hits the spot every time,NULL,implicit,RESTAURANT GENERAL,positive,hits the spot
512,A little pricey but it really hits the spot on a Sunday morning !,NULL,implicit,RESTAURANT PRICES,negative,pricey 
513,A little pricey but it really hits the spot on a Sunday morning !,NULL,implicit,RESTAURANT GENERAL,positive,hits the spot
514,I 'd highly recommend it for a special occasion -- it provides and intimate setting and nice service .,setting,explicit,AMBIENCE GENERAL,positive,intimate
515,I 'd highly recommend it for a special occasion -- it provides and intimate setting and nice service .,service,explicit,SERVICE GENERAL,positive,nice
516,I 'd highly recommend it for a special occasion -- it provides and intimate setting and nice service .,NULL,implicit,RESTAURANT MISCELLANEOUS,positive,recommend
517,"Try the crunchy tuna , it is to die for .",crunchy tuna,explicit,FOOD QUALITY,positive,Try
518,"Try the crunchy tuna , it is to die for .",crunchy tuna,explicit,FOOD QUALITY,positive,die for
519,"Their calzones are horrific , bad , vomit-inducing , YUCK .",calzones,explicit,FOOD QUALITY,negative,horrific
520,"Their calzones are horrific , bad , vomit-inducing , YUCK .",calzones,explicit,FOOD QUALITY,negative,bad
521,"Their calzones are horrific , bad , vomit-inducing , YUCK .",calzones,explicit,FOOD QUALITY,negative,vomit-inducing
522,"Their calzones are horrific , bad , vomit-inducing , YUCK .",calzones,explicit,FOOD QUALITY,negative,YUCK
523,My chow fun and chow see was really bland and oily .,chow fun and chow see,explicit,FOOD QUALITY,negative,bland
524,My chow fun and chow see was really bland and oily .,chow fun and chow see,explicit,FOOD QUALITY,negative,oily
525,"The lamb was tender so full of flavor , the dessert was divine ! !",lamb,explicit,FOOD QUALITY,positive,tender
526,"The lamb was tender so full of flavor , the dessert was divine ! !",dessert,explicit,FOOD QUALITY,positive,divine
527,"I am so coming back here again , as much as I can .",NULL,implicit,RESTAURANT GENERAL,positive,coming back
528,On a hot day it was fabulous to stop in and enjoy lunch .,NULL,implicit,RESTAURANT GENERAL,positive,fabulous
529,On a hot day it was fabulous to stop in and enjoy lunch .,NULL,implicit,RESTAURANT GENERAL,positive,enjoy
530,"Best of all is the warm vibe , the owner is super friendly and service is fast .",vibe,explicit,AMBIENCE GENERAL,positive,warm
531,"Best of all is the warm vibe , the owner is super friendly and service is fast .",owner,explicit,SERVICE GENERAL,positive,friendly
532,"Best of all is the warm vibe , the owner is super friendly and service is fast .",service,explicit,SERVICE GENERAL,positive,fast
533,fresh restaurant was amazing ... ... .. food was delicious and of course fresh .,fresh restaurant,explicit,RESTAURANT GENERAL,positive,fresh
534,fresh restaurant was amazing ... ... .. food was delicious and of course fresh .,fresh restaurant,explicit,RESTAURANT GENERAL,positive,amazing
535,fresh restaurant was amazing ... ... .. food was delicious and of course fresh .,food,explicit,FOOD QUALITY,positive,delicious
536,fresh restaurant was amazing ... ... .. food was delicious and of course fresh .,food,explicit,FOOD QUALITY,positive,fresh
537,Go here for a romantic dinner but not for an all out wow dining experience .,NULL,implicit,AMBIENCE GENERAL,positive,romantic
538,"Nobody at this restaurant will give firm answers about anything and in the end , not one person takes responsibility for anything .",NULL,implicit,SERVICE GENERAL,negative,not one person takes responsibility for anything
539,Definitely worth the trip to Battery Park City !,NULL,implicit,RESTAURANT GENERAL,positive,worth
540,"Great spot , whether looking for a couple of drinks or quiet dinner .",spot,explicit,RESTAURANT GENERAL,positive,Great
541,"Great spot , whether looking for a couple of drinks or quiet dinner .",spot,explicit,RESTAURANT MISCELLANEOUS,positive,Great
542,The service is good and ambience is good for a date or group outing .,service,explicit,SERVICE GENERAL,positive,good
543,The service is good and ambience is good for a date or group outing .,ambience,explicit,AMBIENCE GENERAL,positive,good
544,The lava cake dessert was incredible and I recommend it .,lava cake dessert,explicit,FOOD QUALITY,positive,incredible
545,The lava cake dessert was incredible and I recommend it .,lava cake dessert,explicit,FOOD QUALITY,positive,recommend
546,The only fallback on this restaurant is the prices .,restaurant,explicit,RESTAURANT PRICES,negative,fallback
547,The staff there is very attentive and down to earth .,staff,explicit,SERVICE GENERAL,positive,attentive
548,The staff there is very attentive and down to earth .,staff,explicit,SERVICE GENERAL,positive,down to earth
549,The place is a lot of fun .,place,explicit,AMBIENCE GENERAL,positive,fun
550,"Small servings for main entree , i had salmon ( wasnt impressed ) girlfriend had chicken , it was good .",salmon,explicit,FOOD QUALITY,negative,wasnt impressed
551,"Small servings for main entree , i had salmon ( wasnt impressed ) girlfriend had chicken , it was good .",chicken,explicit,FOOD QUALITY,positive,good
552,"Small servings for main entree , i had salmon ( wasnt impressed ) girlfriend had chicken , it was good .",servings for main entree,explicit,FOOD GENERAL,negative,Small
553,Somehow working the italian charm with constant mille grazie does not constitute proper service .,service,explicit,SERVICE GENERAL,negative,not constitute proper
554,"I found it on a cold night , the perfect spot to warm up .",spot,explicit,RESTAURANT MISCELLANEOUS,positive,perfect
555,"Whenever you need a Sushi fix , Mizu will be there with quality fish and great service .",fish,explicit,FOOD QUALITY,positive,quality
556,"Whenever you need a Sushi fix , Mizu will be there with quality fish and great service .",service,explicit,SERVICE GENERAL,positive,great
557,"Inside is a little cramped , but to be expected .",NULL,implicit,AMBIENCE GENERAL,neutral,to be expected
558,A real dissapointment .,NULL,implicit,FOOD QUALITY,negative,dissapointment
559,Beautiful experience .,NULL,implicit,RESTAURANT GENERAL,positive,Beautiful
560,The owner and staff are all Japanese as well and that adds to the entire ambiance .,ambiance,explicit,AMBIENCE GENERAL,positive,adds
561,"Great food , great decor , great service .",food,explicit,FOOD QUALITY,positive,Great
562,"Great food , great decor , great service .",decor,explicit,AMBIENCE GENERAL,positive,great
563,"Great food , great decor , great service .",service,explicit,SERVICE GENERAL,positive,great
564,I am reluctant to write because I would not want my jem of a pizza place to become overcrowded .,pizza place,explicit,RESTAURANT MISCELLANEOUS,positive,overcrowded
565,Highly recommended .,NULL,implicit,RESTAURANT GENERAL,positive,Highly recommended
566,Chennai Garden is my favorite Indian restaurant in the city .,Chennai Garden,explicit,RESTAURANT GENERAL,positive,favorite
567,"Once you step into Cosette , you 're miraculously in a small , off-the-beaten path Parisian bistro .",Cosette,explicit,AMBIENCE GENERAL,positive,off-the-beaten
568,"My husband said he could 've eaten several more , the portion was fine for me he even exclaimed that the french fries were the best he has had .",NULL,implicit,FOOD STYLE_OPTIONS,negative,eaten several more
569,"My husband said he could 've eaten several more , the portion was fine for me he even exclaimed that the french fries were the best he has had .",portion,explicit,FOOD STYLE_OPTIONS,positive,fine
570,"My husband said he could 've eaten several more , the portion was fine for me he even exclaimed that the french fries were the best he has had .",french fries,explicit,FOOD QUALITY,positive,best
571,$ 20 for all you can eat sushi can not be beaten .,all you can eat sushi,explicit,FOOD PRICES,positive,beaten
572,The food is reliable and the price is moderate .,food,explicit,FOOD QUALITY,positive,reliable
573,The food is reliable and the price is moderate .,NULL,implicit,RESTAURANT PRICES,neutral,moderate
574,We will definitely go back .,NULL,implicit,RESTAURANT GENERAL,positive,go back
575,I really liked this place .,place,explicit,RESTAURANT GENERAL,positive,liked
576,the food is decent .,food,explicit,FOOD QUALITY,neutral,decent
577,I think that it is absolutely brilliant and well runned business operation .,NULL,implicit,RESTAURANT GENERAL,positive,brilliant
578,I highly recommend the restaurant based on our experience last night .,restaurant,explicit,RESTAURANT GENERAL,positive,recommend
579,The server was really cool and served us our food and drinks with a smile .,server,explicit,SERVICE GENERAL,positive,cool
580,"This was the perfect quiet , relaxing , and delicious accompaniment to our afternoon of theater .",NULL,implicit,FOOD QUALITY,positive,delicious
581,"This was the perfect quiet , relaxing , and delicious accompaniment to our afternoon of theater .",NULL,implicit,AMBIENCE GENERAL,positive,perfect quiet
582,"This was the perfect quiet , relaxing , and delicious accompaniment to our afternoon of theater .",NULL,implicit,AMBIENCE GENERAL,positive,relaxing
583,Do n't miss Bloom 's on your next trip to Manhatten .,Bloom 's,explicit,RESTAURANT GENERAL,positive,miss
584,It was divine melts in your mouth .,NULL,implicit,FOOD QUALITY,positive,divine
585,I think I 've had some the best meals of my life at minnow .,meals,explicit,FOOD QUALITY,positive,best
586,We had Pam 's special fried fish and it was amazing .,Pam 's special fried fish,explicit,FOOD QUALITY,positive,amazing
587,Service is average .,Service,explicit,SERVICE GENERAL,neutral,average
588,Fantastic !,NULL,implicit,RESTAURANT GENERAL,positive,Fantastic
589,"Everything I had was good , and I 'm a eater .",NULL,implicit,FOOD QUALITY,positive,good
590,"Ask for Usha , the nicest bartender in manhattan .",Usha,explicit,SERVICE GENERAL,positive,nicest
591,"Great food , great prices , great service .",food,explicit,FOOD QUALITY,positive,Great
592,"Great food , great prices , great service .",NULL,implicit,RESTAURANT PRICES,positive,great
593,"Great food , great prices , great service .",service,explicit,SERVICE GENERAL,positive,great
594,Yakitori ( bbq meats ) is tasty too .,Yakitori ( bbq meats ),explicit,FOOD QUALITY,positive,tasty
595,"The food here is rather good , but only if you like to wait for it .",food,explicit,FOOD QUALITY,positive,good
596,"The food here is rather good , but only if you like to wait for it .",NULL,implicit,SERVICE GENERAL,negative,wait for it
597,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best , freshly baked bread !",crust,explicit,FOOD QUALITY,positive,best
598,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best , freshly baked bread !",pizza,explicit,FOOD QUALITY,positive,should not have additional toppings
599,"Ambience is so cute and quaint , good for business although we were there on vacation .",Ambience,explicit,AMBIENCE GENERAL,positive,cute
600,"Ambience is so cute and quaint , good for business although we were there on vacation .",Ambience,explicit,AMBIENCE GENERAL,positive,quaint
601,"Ambience is so cute and quaint , good for business although we were there on vacation .",Ambience,explicit,AMBIENCE GENERAL,positive,good
602,Even my Indian friend couldn 't believe how good and tasty everything was .,NULL,implicit,FOOD QUALITY,positive,good
603,Even my Indian friend couldn 't believe how good and tasty everything was .,NULL,implicit,FOOD QUALITY,positive,tasty
