As_true	As_pre	sentence	true_ner	predict_ner
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] food was fine, with a some little - tastier - than - normal salsa. [SEP]	O B-EO O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] food was fine, with a some little - tastier - than - normal salsa. [SEP]	O O O O O O O O O O O O O O O B-EO O O	O O O O O O O O O O O O O O O B-EO O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] for the finicky sushi eater and those who have sampled the best nyc has to offer, the fish is the freshest and the service is superb. [SEP]	O O O O O O O O O O O O O O O O O O O B-EO O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O B-EO O O O O O O O O O O
SERVICE#GENERAL#POSITIVE	SERVICE#GENERAL#POSITIVE	[CLS] for the finicky sushi eater and those who have sampled the best nyc has to offer, the fish is the freshest and the service is superb. [SEP]	O O O O O O O O O O O O O O O O O O O O O O O O O B-EO O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O B-EO O O O O
RESTAURANT#GENERAL#POSITIVE	RESTAURANT#GENERAL#POSITIVE	[CLS] old reliable [SEP]	O O B-NULL O	O O B-NULL O
RESTAURANT#GENERAL#POSITIVE	RESTAURANT#GENERAL#POSITIVE	[CLS] one of the best sushi place in town. [SEP]	O O O O O B-EO I-EO O O O O	O O O O B-NULL O O O O O O
FOOD#QUALITY#NEUTRAL	FOOD#QUALITY#NEUTRAL	[CLS] food wise, its ok but a bit pricey for what you get considering the restaurant is nt a fancy place. [SEP]	O B-EO O O O O O O O O O O O O O O O O O O O O O O	O B-EO O O O O O O O O O O O O O O O O O O O O O O
RESTAURANT#PRICES#NEGATIVE	RESTAURANT#PRICES#NEGATIVE	[CLS] food wise, its ok but a bit pricey for what you get considering the restaurant is nt a fancy place. [SEP]	O O O O O O O O O O O O O O O O B-EO O O O O O O O	O O O O O O O O O O O O O O O O B-EO O O O O O O O
AMBIENCE#GENERAL#NEUTRAL	AMBIENCE#GENERAL#NEUTRAL	[CLS] food wise, its ok but a bit pricey for what you get considering the restaurant is nt a fancy place. [SEP]	O O O O O O O O O O O O O O O O B-EO O O O O O O O	O O O O O O O O O O O O O O O O B-EO O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] – love their pizza, especially the mushroom pizza. [SEP]	O O O O B-EO O O O O B-EO O O	O O O O B-EO O O O B-EO I-EO O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] – love their pizza, especially the mushroom pizza. [SEP]	O O O O B-EO O O O B-EO I-EO O O	O O O O O O O O B-EO I-EO O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] they came in their own nifty take out box and with some homemade frosting ; very light and not - too - sweet. [SEP]	O O O O O O O O O O O O O O O O B-NULL I-NULL O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] they came in their own nifty take out box and with some homemade frosting ; very light and not - too - sweet. [SEP]	O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] enjoyed the food [SEP]	O O O B-EO O	O O O B-EO O
RESTAURANT#GENERAL#POSITIVE	RESTAURANT#GENERAL#POSITIVE	[CLS] i ve been to this restaurant over a dozen times with no complaints to date. [SEP]	O O O O O O B-EO O O O O O O O O O O O	O O O O O O B-EO O O O O O O O O O O O
SERVICE#GENERAL#NEGATIVE	SERVICE#GENERAL#NEGATIVE	[CLS] prefer to order it and pick it up though because i do nt like the servers, one young woman in particular. [SEP]	O O O O O O O O O O O O O O O O B-EO O O O O O O O O	O O O O O O O O O O O O O O O O B-EO O O O O O O O O
SERVICE#GENERAL#NEGATIVE	SERVICE#GENERAL#NEGATIVE	[CLS] prefer to order it and pick it up though because i do nt like the servers, one young woman in particular. [SEP]	O O O O O O O O O O O O O O O O O O O B-EO I-EO O O O O	O O O O O O O O O O O O O O O O B-EO O O O O O O O O
RESTAURANT#GENERAL#POSITIVE	RESTAURANT#GENERAL#POSITIVE	[CLS] awesome find [SEP]	O B-NULL O O	O B-NULL O O
FOOD#STYLE_OPTIONS#NEUTRAL	FOOD#STYLE_OPTIONS#NEUTRAL	[CLS] it was nt the freshest seafood ever, but the taste and presentation was ok. [SEP]	O O O O O O B-EO O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O
FOOD#QUALITY#NEUTRAL	FOOD#QUALITY#NEUTRAL	[CLS] it was nt the freshest seafood ever, but the taste and presentation was ok. [SEP]	O O O O O O B-EO O O O O O O O O O O O	O O O O O O B-EO O O O O O O O O O O O
FOOD#QUALITY#NEUTRAL	FOOD#QUALITY#NEUTRAL	[CLS] it was nt the freshest seafood ever, but the taste and presentation was ok. [SEP]	O O O O O O B-EO O O O O O O O O O O O	O O O O O O B-EO O O O O O O O O O O O
SERVICE#GENERAL#NEGATIVE	SERVICE#GENERAL#NEGATIVE	[CLS] however, the value and service are both severely lacking. [SEP]	O O O O O O B-EO O O O O O O	O O O O O O B-EO O O O O O O
RESTAURANT#PRICES#NEGATIVE	RESTAURANT#PRICES#NEGATIVE	[CLS] however, the value and service are both severely lacking. [SEP]	O O O O O O O O O O B-NULL O O	O O O O O O O O O O O O O
RESTAURANT#GENERAL#POSITIVE	RESTAURANT#GENERAL#POSITIVE	[CLS] in grammercy / union square / east village this is my neighbors and my favorite spot. [SEP]	O O O O O O O O O O O O O O O O B-EO O O	O O O O B-EO I-EO O B-EO I-EO O O O O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] the side of potatoes is to die for, as is the labne ( yogurt dip ). [SEP]	O O B-EO I-EO I-EO O O O O O O O O O O O O O O O	O O B-EO I-EO I-EO O O O O O O O O B-EO I-EO I-EO I-EO O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] the side of potatoes is to die for, as is the labne ( yogurt dip ). [SEP]	O O O O O O O O O O O O O B-EO I-EO I-EO I-EO I-EO O O	O O B-EO I-NULL I-EO O O O O O O O O O O O I-EO O O O
RESTAURANT#GENERAL#POSITIVE	RESTAURANT#GENERAL#POSITIVE	[CLS] amazing. [SEP]	O B-NULL O O	O B-NULL O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] what a tastly, flaky treat! [SEP]	O O O B-NULL O O O O O	O O O B-NULL O O B-NULL O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] what a tastly, flaky treat! [SEP]	O O O O O B-NULL O O O	O O O O O O B-NULL O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] great food, better margaritas! [SEP]	O O B-EO O O O O O	O O B-EO O O O O O
DRINKS#QUALITY#POSITIVE	DRINKS#QUALITY#POSITIVE	[CLS] great food, better margaritas! [SEP]	O O O O O B-EO O O	O O O O O B-EO O O
SERVICE#GENERAL#POSITIVE	SERVICE#GENERAL#POSITIVE	[CLS] the service is really attentive and charming. [SEP]	O O B-EO O O O O O O O	O O B-EO O O O O O O O
FOOD#STYLE_OPTIONS#POSITIVE	FOOD#STYLE_OPTIONS#POSITIVE	[CLS] most importantly, we were so excited about the food after seeing the very creative menu. [SEP]	O O O O O O O O O O O O O O O O B-EO O O	O O O O O O O O O O B-EO O O O O O B-EO O O
AMBIENCE#GENERAL#POSITIVE	AMBIENCE#GENERAL#POSITIVE	[CLS] a cozy spot for 2 [SEP]	O O O B-EO O O O	O O O B-EO O O O
RESTAURANT#PRICES#POSITIVE	RESTAURANT#PRICES#POSITIVE	[CLS] the best thing is, the prices are also quite reasonable. [SEP]	O O O O O O O O O O O B-NULL O O	O O O O O O O O O O O B-NULL O O
SERVICE#GENERAL#NEGATIVE	SERVICE#GENERAL#NEGATIVE	[CLS] she promised to speak to the waitress who had flown off in a rage, but we could hardly take her promise seriously, seeing as she hadn t bothered to get the waitresses name. [SEP]	O O O O O O O O O O B-NULL I-NULL I-NULL I-NULL I-NULL O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O B-EO O O O O O O O O O O O O O O O O O O O O O O O O O O B-EO O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] the chana masala ( garbanzo beans ) are also excellent. [SEP]	O O B-EO I-EO I-EO I-EO I-EO I-EO O O O O O	O O B-EO I-EO I-EO I-EO I-EO I-EO O O O B-EO O
RESTAURANT#GENERAL#NEGATIVE	RESTAURANT#GENERAL#NEGATIVE	[CLS] this establishment really made a marked decline after ( and this is recurring story ) the airing of food televisions ` ` diners, drive - ins, and dives ` ` hosted by guy fieri, in which schooner or later was subject of. [SEP]	O O B-EO O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O B-EO O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
FOOD#STYLE_OPTIONS#POSITIVE	FOOD#STYLE_OPTIONS#POSITIVE	[CLS] i love dungeness crabs and at ray s you can get them served in about 6 different ways! [SEP]	O O O B-EO I-EO O O O O O O O O O O O O O O O O	O O O B-EO I-EO O O O O O O O O O O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] food was good and appetizing. [SEP]	O B-EO O O O O O O	O B-EO O O O O O O
RESTAURANT#GENERAL#POSITIVE	RESTAURANT#GENERAL#POSITIVE	[CLS] it was absolutely amazing. [SEP]	O O O O B-NULL O O	O O O O B-NULL O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] this is a great place to get a delicious meal. [SEP]	O O O O O O O O O O B-EO O O	O O O O O O O O O O B-EO O O
SERVICE#GENERAL#POSITIVE	SERVICE#GENERAL#POSITIVE	[CLS] plus, i am allergic to rice, and the waitstaff was unbelievably accomodating - - did nt even bat an eye! [SEP]	O O O O O O O O O O O B-EO O O O O O O O O O O O O O	O O O O O O O O O O O B-EO O O O O O O O O O O O O O
FOOD#QUALITY#NEGATIVE	FOOD#QUALITY#NEGATIVE	[CLS] – i was highly disappointed in the food at pagoda. [SEP]	O O O O O O O O B-EO O O O O	O O O O O O O O B-EO O O O O
RESTAURANT#PRICES#NEGATIVE	RESTAURANT#PRICES#NEGATIVE	[CLS] overpriced [SEP]	O B-NULL O	O B-NULL O
RESTAURANT#GENERAL#NEGATIVE	RESTAURANT#GENERAL#NEGATIVE	[CLS] this is sad for what once was one of the best places you could ever eat. [SEP]	O O O B-NULL O O O O O O O O O O O O O O O	O O O B-NULL O O O O O O O O O O O O O O O
RESTAURANT#GENERAL#POSITIVE	RESTAURANT#GENERAL#POSITIVE	[CLS] once you re inside, the real experience begins. [SEP]	O O O O O O O B-NULL I-NULL O O O	O O O O O O O B-NULL O O O O
DRINKS#QUALITY#POSITIVE	DRINKS#QUALITY#POSITIVE	[CLS] and the waiter suggested a perfect sake!! [SEP]	O O O O O O O B-EO O O O	O O O O O O O B-EO O O O
SERVICE#GENERAL#NEGATIVE	SERVICE#GENERAL#NEGATIVE	[CLS] the owner is belligerent to guests that have a complaint. [SEP]	O O B-EO O O O O O O O O O O	O O B-EO O O O O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] everything you want and more, very fresh. [SEP]	O O O O O O O O B-NULL O O	O B-NULL O O O O O O B-NULL O O
FOOD#STYLE_OPTIONS#POSITIVE	FOOD#STYLE_OPTIONS#POSITIVE	[CLS] everything you want and more, very fresh. [SEP]	O O O B-NULL I-NULL I-NULL O O O O O	O B-NULL O B-NULL O I-NULL O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] my friend enjoyed the grilled alaskan king salmon with delectable creamed washington russet potatoes and crisp green beans. [SEP]	O O O O O B-EO I-EO I-EO I-EO O O O O O O O O O O O O	O O O O O B-EO I-EO I-EO I-EO O O O O O O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] my friend enjoyed the grilled alaskan king salmon with delectable creamed washington russet potatoes and crisp green beans. [SEP]	O O O O O O O O O O O B-EO I-EO I-EO I-EO O O O O O O	O O O O O B-EO I-EO I-EO I-EO I-EO O O O O I-EO O O I-EO I-EO O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] my friend enjoyed the grilled alaskan king salmon with delectable creamed washington russet potatoes and crisp green beans. [SEP]	O O O O O O O O O O O O O O O O O B-EO I-EO O O	O O O O O B-EO I-EO I-EO I-EO O O B-EO I-EO O I-EO I-EO O I-EO I-EO O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] the food was very good, filet mignon was probably the best i ve ever try. [SEP]	O O B-EO O O O O O O O O O O O O O O O O	O O B-EO O O O O O O O O O O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] the food was very good, filet mignon was probably the best i ve ever try. [SEP]	O O O O O O O B-EO I-EO O O O O O O O O O O	O O O O O O O B-EO I-EO O O O O O O O O O O
SERVICE#GENERAL#POSITIVE	SERVICE#GENERAL#POSITIVE	[CLS] – mercedes restaurant is so tasty, the service is undeniably awesome! [SEP]	O O O O O O O O O B-EO O O O O O	O O O O O O O O O B-EO O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] – mercedes restaurant is so tasty, the service is undeniably awesome! [SEP]	O O O O O O B-NULL O O O O O O O O	O O I-EO O O O O O O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] i can highly recommend their various saag and paneer and korma. [SEP]	O O O O O O O B-EO O O O O O O	O O O O O O O O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] i can highly recommend their various saag and paneer and korma. [SEP]	O O O O O O O O O B-EO O O O O	O O O O O O O O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] i can highly recommend their various saag and paneer and korma. [SEP]	O O O O O O O O O O O B-EO O O	O O O O O O O O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] the food is great and they make a mean bloody mary. [SEP]	O O B-EO O O O O O O O O O O O	O O B-EO O O O O O O O O O O O
DRINKS#QUALITY#POSITIVE	DRINKS#QUALITY#POSITIVE	[CLS] the food is great and they make a mean bloody mary. [SEP]	O O O O O O O O O O B-EO I-EO O O	O O O O O O O O O O B-EO I-EO O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] nice food but no spice! [SEP]	O O B-EO O O O O O	O O B-EO O O O O O
FOOD#QUALITY#NEGATIVE	FOOD#QUALITY#NEGATIVE	[CLS] nice food but no spice! [SEP]	O O B-EO O O O O O	O O B-EO O O O O O
AMBIENCE#GENERAL#POSITIVE	AMBIENCE#GENERAL#POSITIVE	[CLS] another plus is the open feel of the restaurant with glass walls on all sides. [SEP]	O O O O O O B-EO O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O
AMBIENCE#GENERAL#POSITIVE	AMBIENCE#GENERAL#POSITIVE	[CLS] another plus is the open feel of the restaurant with glass walls on all sides. [SEP]	O O O O O O B-EO O O O O O O O O O O O	O O O O O B-EO I-EO O O O O O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] yum! [SEP]	O B-NULL O O	O O O O
RESTAURANT#MISCELLANEOUS#NEGATIVE	RESTAURANT#MISCELLANEOUS#NEGATIVE	[CLS] the bathroom itself is very small with two toilets and only one sink, the girl was staying totally on the way hanging out paper towels from the dispenser. [SEP]	O O B-EO O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O B-EO O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] love the enchiladas and chicken soup - and be sure to check out their specials. [SEP]	O O O B-EO O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] love the enchiladas and chicken soup - and be sure to check out their specials. [SEP]	O O O O O B-EO I-EO O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] love the enchiladas and chicken soup - and be sure to check out their specials. [SEP]	O O O O O O O O O O O O O O O B-EO O O	O O O B-EO O I-EO I-EO O O O O O O O O B-EO O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] the food is simply unforgettable! [SEP]	O O B-EO O O O O O	O O B-EO O O O O O
SERVICE#GENERAL#NEGATIVE	SERVICE#GENERAL#NEGATIVE	[CLS] management should really take notice and train their waitstaff and teach them some proper manners. [SEP]	O O O O O O O O O B-EO O O O O O O O O	O O O O O O O O O B-EO O O O O O B-EO O O
SERVICE#GENERAL#POSITIVE	SERVICE#GENERAL#POSITIVE	[CLS] the staff are friendly and the decor was ethic and colorful. [SEP]	O O B-EO O O O O O O O O O O O	O O B-EO O O O O O O O O O O O
AMBIENCE#GENERAL#POSITIVE	AMBIENCE#GENERAL#POSITIVE	[CLS] the staff are friendly and the decor was ethic and colorful. [SEP]	O O O O O O O B-EO O O O O O O	O O O O O O O B-EO O O O O O O
AMBIENCE#GENERAL#POSITIVE	AMBIENCE#GENERAL#POSITIVE	[CLS] the staff are friendly and the decor was ethic and colorful. [SEP]	O O O O O O O B-EO O O O O O O	O O O O O O O B-EO O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] the best chuwam mushi i have ever had. [SEP]	O O O B-EO I-EO O O O O O O	O O O B-EO I-EO O O O O O O
FOOD#STYLE_OPTIONS#NEUTRAL	FOOD#STYLE_OPTIONS#NEUTRAL	[CLS] portions was just enough for me, but may not be for a big eater. [SEP]	O B-EO O O O O O O O O O O O O O O O O	O B-EO O O O O O O O O O O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] try the pizza ensalata! [SEP]	O O O B-EO I-EO O O	O O O B-EO I-EO O O
RESTAURANT#GENERAL#POSITIVE	RESTAURANT#GENERAL#POSITIVE	[CLS] still i would recommend this place. [SEP]	O O O O O O B-EO O O	O O O O O O B-EO O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] – the sushi here is perfectly good, but for $ 5 a piece, either the slices of fish should be larger, or there should be no pretense that this is a moderately priced restaurant ( even for nyc ). [SEP]	O O O B-EO O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O B-EO O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
RESTAURANT#PRICES#NEGATIVE	RESTAURANT#PRICES#NEGATIVE	[CLS] – the sushi here is perfectly good, but for $ 5 a piece, either the slices of fish should be larger, or there should be no pretense that this is a moderately priced restaurant ( even for nyc ). [SEP]	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-EO O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-EO O O O O O O O
FOOD#STYLE_OPTIONS#NEGATIVE	FOOD#STYLE_OPTIONS#NEGATIVE	[CLS] – the sushi here is perfectly good, but for $ 5 a piece, either the slices of fish should be larger, or there should be no pretense that this is a moderately priced restaurant ( even for nyc ). [SEP]	O O O B-EO O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O B-EO I-EO I-EO O O O O O O O O O O O O O O O O O O O O O O O O
FOOD#PRICES#NEGATIVE	FOOD#PRICES#NEGATIVE	[CLS] – the sushi here is perfectly good, but for $ 5 a piece, either the slices of fish should be larger, or there should be no pretense that this is a moderately priced restaurant ( even for nyc ). [SEP]	O O O B-EO O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
RESTAURANT#GENERAL#POSITIVE	RESTAURANT#GENERAL#POSITIVE	[CLS] you are bound to have a very charming time. [SEP]	O O O O O O O O B-NULL O O O	O O O O O O O O B-NULL O O O
DRINKS#QUALITY#POSITIVE	DRINKS#QUALITY#POSITIVE	[CLS] we have since returned and also had a great experience, sampling more small plates and a variety of the beer ( cold and good ). [SEP]	O O O O O O O O O O O O O O O O O O O O O B-EO O O O O O O O	O O O O O O O O O O O O O O O O O O O O O B-EO O O O O O O O
RESTAURANT#GENERAL#POSITIVE	RESTAURANT#GENERAL#POSITIVE	[CLS] we have since returned and also had a great experience, sampling more small plates and a variety of the beer ( cold and good ). [SEP]	O O O O O O O O O B-NULL O O O O O O O O O O O O O O O O O O O	O O O O O O O O O B-NULL O O O O O O O O O O O O O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] best sushi in town. [SEP]	O O B-EO O O O O	O O B-EO O O O O
SERVICE#GENERAL#POSITIVE	SERVICE#GENERAL#POSITIVE	[CLS] the staff was very nice and courteous and obviously chinese. [SEP]	O O B-EO O O O O O O O O O O	O O B-EO O O O O O O O O O O
SERVICE#GENERAL#POSITIVE	SERVICE#GENERAL#POSITIVE	[CLS] the staff was very nice and courteous and obviously chinese. [SEP]	O O B-EO O O O O O O O O O O	O O B-EO O O O O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] we ordered a selection of the small plates, and the shoe string onions, goat cheese pizza, grilled asparagus and fried brie with fruit were all very good. [SEP]	O O O O O O O O O O O O B-EO I-EO I-EO O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O B-EO I-EO O I-EO I-EO I-EO I-EO O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] we ordered a selection of the small plates, and the shoe string onions, goat cheese pizza, grilled asparagus and fried brie with fruit were all very good. [SEP]	O O O O O O O O O O O O O O O O B-EO I-EO I-EO O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O B-EO O O O I-EO I-EO I-EO O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] we ordered a selection of the small plates, and the shoe string onions, goat cheese pizza, grilled asparagus and fried brie with fruit were all very good. [SEP]	O O O O O O O O O O O O O O O O O O O O B-EO I-EO O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O B-EO I-EO O I-EO I-EO I-EO I-EO O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] we ordered a selection of the small plates, and the shoe string onions, goat cheese pizza, grilled asparagus and fried brie with fruit were all very good. [SEP]	O O O O O O O O O O O O O O O O O O O O O O O B-EO I-EO I-EO I-EO O O O O O O	O O O O O O O O O O O O O O O O O O O O B-EO I-EO O I-EO I-EO I-EO I-EO O O O O O O
RESTAURANT#GENERAL#POSITIVE	RESTAURANT#GENERAL#POSITIVE	[CLS] nice job! [SEP]	O B-NULL O O O	O B-NULL O O O
FOOD#QUALITY#NEGATIVE	FOOD#QUALITY#NEGATIVE	[CLS] though, one thing i realized later on was that the restaurant either used msg or a meat tenderizer on the steak. [SEP]	O O O O O O O O O O O O O O O O O O O O O O B-EO O O	O O O O O O O O O O O O O O O O O O O O O O O O O
DRINKS#STYLE_OPTIONS#POSITIVE	DRINKS#STYLE_OPTIONS#POSITIVE	[CLS] great selection of sakes. [SEP]	O O B-EO I-EO I-EO O O	O O B-EO I-EO I-EO O O
RESTAURANT#GENERAL#POSITIVE	RESTAURANT#GENERAL#POSITIVE	[CLS] kudos to these guys. [SEP]	O B-NULL O O O O O	O B-NULL O O O O O
RESTAURANT#GENERAL#NEGATIVE	RESTAURANT#GENERAL#NEGATIVE	[CLS] unless you are just stopping in for a few drinks i wouldn t recommend going here. [SEP]	O O O O O O O O O O O O B-NULL O B-NULL O O O O	O O O O O O O O O O O O B-NULL O B-NULL O O O O
DRINKS#QUALITY#POSITIVE	DRINKS#QUALITY#POSITIVE	[CLS] great bottle of wine. [SEP]	O O B-EO I-EO I-EO O O	O O B-EO I-EO I-EO O O
FOOD#PRICES#POSITIVE	FOOD#PRICES#POSITIVE	[CLS] the open sesame combo plate is a bargain for the heap of food given. [SEP]	O O B-EO I-EO I-EO I-EO O O O O O O O O O O O	O O B-EO I-EO I-EO I-EO O O O O O O O B-EO O O O
FOOD#STYLE_OPTIONS#POSITIVE	FOOD#STYLE_OPTIONS#POSITIVE	[CLS] the open sesame combo plate is a bargain for the heap of food given. [SEP]	O O B-EO I-EO I-EO I-EO O O O O O O O O O O O	O O B-EO I-EO I-EO I-EO O O O O O O O O O O O
RESTAURANT#GENERAL#NEGATIVE	RESTAURANT#GENERAL#NEGATIVE	[CLS] way over - rated!!!! [SEP]	O O O O O O O O O O	O O B-NULL O B-NULL O O O O O
RESTAURANT#GENERAL#POSITIVE	RESTAURANT#GENERAL#POSITIVE	[CLS] worth the wait [SEP]	O B-NULL O O O	O B-NULL O O O
RESTAURANT#GENERAL#POSITIVE	RESTAURANT#GENERAL#POSITIVE	[CLS] doesn t get any better than that. [SEP]	O B-NULL O B-NULL I-NULL I-NULL O O O O	O B-NULL O B-NULL I-NULL I-NULL O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] best honey walnyt prawns that we have every tasted. [SEP]	O O B-EO I-EO I-EO O O O O O O O	O O B-EO I-EO I-EO O O O O O O O
RESTAURANT#MISCELLANEOUS#POSITIVE	RESTAURANT#MISCELLANEOUS#POSITIVE	[CLS] they have been featured on the food network and they deserve it. [SEP]	O O O O B-NULL O O O O O O O O O O	O O O O B-NULL O O O O O O O O O O
AMBIENCE#GENERAL#POSITIVE	AMBIENCE#GENERAL#POSITIVE	[CLS] i love the warm & cosy environment. [SEP]	O O O O O O O B-EO O O	O O O O O O O B-EO O O
SERVICE#GENERAL#NEGATIVE	SERVICE#GENERAL#NEGATIVE	[CLS] snotty attitude [SEP]	O B-NULL O O	O O B-NULL O
AMBIENCE#GENERAL#POSITIVE	AMBIENCE#GENERAL#POSITIVE	[CLS] the atmosphere is aspiring, and the decor is festive and amazing... [SEP]	O O B-EO O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O
AMBIENCE#GENERAL#POSITIVE	AMBIENCE#GENERAL#POSITIVE	[CLS] the atmosphere is aspiring, and the decor is festive and amazing... [SEP]	O O O O O O O O B-EO O O O O O O O O	O O O O O O O O B-EO O O O O O O O O
AMBIENCE#GENERAL#POSITIVE	AMBIENCE#GENERAL#POSITIVE	[CLS] the atmosphere is aspiring, and the decor is festive and amazing... [SEP]	O O O O O O O O B-EO O O O O O O O O	O O O O O O O O B-EO O O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] their specialty rolls are impressive, though i ca nt remember what we had. [SEP]	O O B-EO I-EO O O O O O O O O O O O O O	O O B-EO I-EO O O O O O O O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] – i loved the pumpkin ravioli and the goat cheese gnocchi ( 5 big ones to a plate instead of 20 or so little gnocchis ) and my sister loved her filet mignon on top of spinach and mashed potatoes. [SEP]	O O O O O B-EO I-EO O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O B-EO O O O O O O O O O O O O O O O O O O O O O O O O O O B-EO O O O O O O O O O O
